id,priority,municipality,pillar,primary_keyword_en,primary_keyword_es,url,requirement,release_status,index_policy
"39","P1","Bayamón","tourism","tours in Bayamón Puerto Rico","tours en Bayamón Puerto Rico","https://spotlightpuertorico.com/puerto-rico/bayamon/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"40","P1","Cabo Rojo","business","automotive services in Cabo Rojo","servicios automotrices en Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/automotive/","2 approved automotive listings","live","index"
"41","P1","Cabo Rojo","tourism","beaches near Cabo Rojo","playas cerca de Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/beaches/","2 documented beaches with access and safety details","live","index"
"42","P1","Cabo Rojo","business","beauty and spa in Cabo Rojo","belleza y spa en Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"43","P1","Cabo Rojo","food","cafes and bakeries in Cabo Rojo","cafés y panaderías en Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"44","P1","Cabo Rojo","tourism","family things to do in Cabo Rojo","actividades familiares en Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/family-activities/","3 documented family-suitable activities","live","index"
"45","P1","Cabo Rojo","business","home services in Cabo Rojo","servicios para el hogar en Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/home-services/","2 approved home-service listings","live","index"
"46","P1","Cabo Rojo","business","local businesses in Cabo Rojo","negocios locales en Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/local-businesses/","4 approved listings across at least 2 categories","live","index"
"47","P1","Cabo Rojo","business","professional services in Cabo Rojo","servicios profesionales en Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/professional-services/","2 approved professional-service listings","live","index"
"48","P1","Cabo Rojo","food","restaurants in Cabo Rojo","restaurantes en Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/restaurants/","2 approved restaurant listings","live","index"
"49","P1","Cabo Rojo","business","services near me in Cabo Rojo","servicios cerca de mí en Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/services/","3 approved service listings across at least 2 categories","live","index"
"50","P1","Cabo Rojo","shopping","shopping in Cabo Rojo Puerto Rico","dónde comprar en Cabo Rojo Puerto Rico","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/shopping/","2 approved retail listings","live","index"
"51","P1","Cabo Rojo","tourism","things to do in Cabo Rojo","qué hacer en Cabo Rojo","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
"52","P1","Cabo Rojo","tourism","tours in Cabo Rojo Puerto Rico","tours en Cabo Rojo Puerto Rico","https://spotlightpuertorico.com/puerto-rico/cabo-rojo/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"53","P1","Caguas","business","automotive services in Caguas","servicios automotrices en Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/automotive/","2 approved automotive listings","live","index"
"54","P1","Caguas","tourism","beaches near Caguas","playas cerca de Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/beaches/","2 documented beaches with access and safety details","live","index"
"55","P1","Caguas","business","beauty and spa in Caguas","belleza y spa en Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"56","P1","Caguas","food","cafes and bakeries in Caguas","cafés y panaderías en Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"57","P1","Caguas","tourism","family things to do in Caguas","actividades familiares en Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/family-activities/","3 documented family-suitable activities","live","index"
"58","P1","Caguas","business","home services in Caguas","servicios para el hogar en Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/home-services/","2 approved home-service listings","live","index"
"59","P1","Caguas","business","local businesses in Caguas","negocios locales en Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/local-businesses/","4 approved listings across at least 2 categories","live","index"
"60","P1","Caguas","business","professional services in Caguas","servicios profesionales en Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/professional-services/","2 approved professional-service listings","live","index"
"61","P1","Caguas","food","restaurants in Caguas","restaurantes en Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/restaurants/","2 approved restaurant listings","live","index"
"62","P1","Caguas","business","services near me in Caguas","servicios cerca de mí en Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/services/","3 approved service listings across at least 2 categories","live","index"
"63","P1","Caguas","shopping","shopping in Caguas Puerto Rico","dónde comprar en Caguas Puerto Rico","https://spotlightpuertorico.com/puerto-rico/caguas/shopping/","2 approved retail listings","live","index"
"64","P1","Caguas","tourism","things to do in Caguas","qué hacer en Caguas","https://spotlightpuertorico.com/puerto-rico/caguas/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
"65","P1","Caguas","tourism","tours in Caguas Puerto Rico","tours en Caguas Puerto Rico","https://spotlightpuertorico.com/puerto-rico/caguas/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"66","P1","Carolina","business","automotive services in Carolina","servicios automotrices en Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/automotive/","2 approved automotive listings","live","index"
"67","P1","Carolina","tourism","beaches near Carolina","playas cerca de Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/beaches/","2 documented beaches with access and safety details","live","index"
"68","P1","Carolina","business","beauty and spa in Carolina","belleza y spa en Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"69","P1","Carolina","food","cafes and bakeries in Carolina","cafés y panaderías en Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"70","P1","Carolina","tourism","family things to do in Carolina","actividades familiares en Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/family-activities/","3 documented family-suitable activities","live","index"
"71","P1","Carolina","business","home services in Carolina","servicios para el hogar en Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/home-services/","2 approved home-service listings","live","index"
"72","P1","Carolina","business","local businesses in Carolina","negocios locales en Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/local-businesses/","4 approved listings across at least 2 categories","live","index"
"73","P1","Carolina","business","professional services in Carolina","servicios profesionales en Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/professional-services/","2 approved professional-service listings","live","index"
"74","P1","Carolina","food","restaurants in Carolina","restaurantes en Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/restaurants/","2 approved restaurant listings","live","index"
"75","P1","Carolina","business","services near me in Carolina","servicios cerca de mí en Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/services/","3 approved service listings across at least 2 categories","live","index"
"76","P2","Carolina","shopping","shopping in Carolina Puerto Rico","dónde comprar en Carolina Puerto Rico","https://spotlightpuertorico.com/puerto-rico/carolina/shopping/","2 approved retail listings","live","index"
"77","P2","Carolina","tourism","things to do in Carolina","qué hacer en Carolina","https://spotlightpuertorico.com/puerto-rico/carolina/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
"78","P2","Carolina","tourism","tours in Carolina Puerto Rico","tours en Carolina Puerto Rico","https://spotlightpuertorico.com/puerto-rico/carolina/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"79","P2","Culebra","business","automotive services in Culebra","servicios automotrices en Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/automotive/","2 approved automotive listings","live","index"
"80","P2","Culebra","tourism","beaches near Culebra","playas cerca de Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/beaches/","2 documented beaches with access and safety details","live","index"
"81","P2","Culebra","business","beauty and spa in Culebra","belleza y spa en Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"82","P2","Culebra","food","cafes and bakeries in Culebra","cafés y panaderías en Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"83","P2","Culebra","tourism","family things to do in Culebra","actividades familiares en Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/family-activities/","3 documented family-suitable activities","live","index"
"84","P2","Culebra","business","home services in Culebra","servicios para el hogar en Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/home-services/","2 approved home-service listings","live","index"
"85","P2","Culebra","business","local businesses in Culebra","negocios locales en Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/local-businesses/","4 approved listings across at least 2 categories","live","index"
"86","P2","Culebra","business","professional services in Culebra","servicios profesionales en Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/professional-services/","2 approved professional-service listings","live","index"
"87","P2","Culebra","food","restaurants in Culebra","restaurantes en Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/restaurants/","2 approved restaurant listings","live","index"
"88","P2","Culebra","business","services near me in Culebra","servicios cerca de mí en Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/services/","3 approved service listings across at least 2 categories","live","index"
"89","P2","Culebra","shopping","shopping in Culebra Puerto Rico","dónde comprar en Culebra Puerto Rico","https://spotlightpuertorico.com/puerto-rico/culebra/shopping/","2 approved retail listings","live","index"
"90","P2","Culebra","tourism","things to do in Culebra","qué hacer en Culebra","https://spotlightpuertorico.com/puerto-rico/culebra/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
"91","P2","Culebra","tourism","tours in Culebra Puerto Rico","tours en Culebra Puerto Rico","https://spotlightpuertorico.com/puerto-rico/culebra/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"92","P2","Dorado","business","automotive services in Dorado","servicios automotrices en Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/automotive/","2 approved automotive listings","live","index"
"93","P2","Dorado","tourism","beaches near Dorado","playas cerca de Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/beaches/","2 documented beaches with access and safety details","live","index"
"94","P2","Dorado","business","beauty and spa in Dorado","belleza y spa en Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"95","P2","Dorado","food","cafes and bakeries in Dorado","cafés y panaderías en Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"96","P2","Dorado","tourism","family things to do in Dorado","actividades familiares en Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/family-activities/","3 documented family-suitable activities","live","index"
"97","P2","Dorado","business","home services in Dorado","servicios para el hogar en Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/home-services/","2 approved home-service listings","live","index"
"98","P2","Dorado","business","local businesses in Dorado","negocios locales en Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/local-businesses/","4 approved listings across at least 2 categories","live","index"
"99","P2","Dorado","business","professional services in Dorado","servicios profesionales en Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/professional-services/","2 approved professional-service listings","live","index"
"100","P2","Dorado","food","restaurants in Dorado","restaurantes en Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/restaurants/","2 approved restaurant listings","live","index"
"101","P2","Dorado","business","services near me in Dorado","servicios cerca de mí en Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/services/","3 approved service listings across at least 2 categories","live","index"
"102","P2","Dorado","shopping","shopping in Dorado Puerto Rico","dónde comprar en Dorado Puerto Rico","https://spotlightpuertorico.com/puerto-rico/dorado/shopping/","2 approved retail listings","live","index"
"103","P2","Dorado","tourism","things to do in Dorado","qué hacer en Dorado","https://spotlightpuertorico.com/puerto-rico/dorado/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
"104","P2","Dorado","tourism","tours in Dorado Puerto Rico","tours en Dorado Puerto Rico","https://spotlightpuertorico.com/puerto-rico/dorado/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"105","P2","Fajardo","business","automotive services in Fajardo","servicios automotrices en Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/automotive/","2 approved automotive listings","live","index"
"106","P2","Fajardo","tourism","beaches near Fajardo","playas cerca de Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/beaches/","2 documented beaches with access and safety details","live","index"
"107","P2","Fajardo","business","beauty and spa in Fajardo","belleza y spa en Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"108","P2","Fajardo","food","cafes and bakeries in Fajardo","cafés y panaderías en Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"109","P2","Fajardo","tourism","family things to do in Fajardo","actividades familiares en Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/family-activities/","3 documented family-suitable activities","live","index"
"110","P2","Fajardo","business","home services in Fajardo","servicios para el hogar en Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/home-services/","2 approved home-service listings","live","index"
"111","P2","Fajardo","business","local businesses in Fajardo","negocios locales en Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/local-businesses/","4 approved listings across at least 2 categories","live","index"
"112","P2","Fajardo","business","professional services in Fajardo","servicios profesionales en Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/professional-services/","2 approved professional-service listings","live","index"
"113","P2","Fajardo","food","restaurants in Fajardo","restaurantes en Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/restaurants/","2 approved restaurant listings","live","index"
"114","P2","Fajardo","business","services near me in Fajardo","servicios cerca de mí en Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/services/","3 approved service listings across at least 2 categories","live","index"
"115","P2","Fajardo","shopping","shopping in Fajardo Puerto Rico","dónde comprar en Fajardo Puerto Rico","https://spotlightpuertorico.com/puerto-rico/fajardo/shopping/","2 approved retail listings","live","index"
"116","P2","Fajardo","tourism","things to do in Fajardo","qué hacer en Fajardo","https://spotlightpuertorico.com/puerto-rico/fajardo/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
"117","P2","Fajardo","tourism","tours in Fajardo Puerto Rico","tours en Fajardo Puerto Rico","https://spotlightpuertorico.com/puerto-rico/fajardo/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"118","P2","Luquillo","business","automotive services in Luquillo","servicios automotrices en Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/automotive/","2 approved automotive listings","live","index"
"119","P2","Luquillo","tourism","beaches near Luquillo","playas cerca de Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/beaches/","2 documented beaches with access and safety details","live","index"
"120","P2","Luquillo","business","beauty and spa in Luquillo","belleza y spa en Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"121","P2","Luquillo","food","cafes and bakeries in Luquillo","cafés y panaderías en Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"122","P2","Luquillo","tourism","family things to do in Luquillo","actividades familiares en Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/family-activities/","3 documented family-suitable activities","live","index"
"123","P2","Luquillo","business","home services in Luquillo","servicios para el hogar en Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/home-services/","2 approved home-service listings","live","index"
"124","P2","Luquillo","business","local businesses in Luquillo","negocios locales en Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/local-businesses/","4 approved listings across at least 2 categories","live","index"
"125","P2","Luquillo","business","professional services in Luquillo","servicios profesionales en Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/professional-services/","2 approved professional-service listings","live","index"
"126","P2","Luquillo","food","restaurants in Luquillo","restaurantes en Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/restaurants/","2 approved restaurant listings","live","index"
"127","P2","Luquillo","business","services near me in Luquillo","servicios cerca de mí en Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/services/","3 approved service listings across at least 2 categories","live","index"
"128","P2","Luquillo","shopping","shopping in Luquillo Puerto Rico","dónde comprar en Luquillo Puerto Rico","https://spotlightpuertorico.com/puerto-rico/luquillo/shopping/","2 approved retail listings","live","index"
"129","P2","Luquillo","tourism","things to do in Luquillo","qué hacer en Luquillo","https://spotlightpuertorico.com/puerto-rico/luquillo/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
"130","P2","Luquillo","tourism","tours in Luquillo Puerto Rico","tours en Luquillo Puerto Rico","https://spotlightpuertorico.com/puerto-rico/luquillo/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"131","P2","Mayagüez","business","automotive services in Mayagüez","servicios automotrices en Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/automotive/","2 approved automotive listings","live","index"
"132","P2","Mayagüez","tourism","beaches near Mayagüez","playas cerca de Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/beaches/","2 documented beaches with access and safety details","live","index"
"133","P2","Mayagüez","business","beauty and spa in Mayagüez","belleza y spa en Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"134","P2","Mayagüez","food","cafes and bakeries in Mayagüez","cafés y panaderías en Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"135","P2","Mayagüez","tourism","family things to do in Mayagüez","actividades familiares en Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/family-activities/","3 documented family-suitable activities","live","index"
"136","P2","Mayagüez","business","home services in Mayagüez","servicios para el hogar en Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/home-services/","2 approved home-service listings","live","index"
"137","P2","Mayagüez","business","local businesses in Mayagüez","negocios locales en Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/local-businesses/","4 approved listings across at least 2 categories","live","index"
"138","P2","Mayagüez","business","professional services in Mayagüez","servicios profesionales en Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/professional-services/","2 approved professional-service listings","live","index"
"139","P2","Mayagüez","food","restaurants in Mayagüez","restaurantes en Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/restaurants/","2 approved restaurant listings","live","index"
"140","P2","Mayagüez","business","services near me in Mayagüez","servicios cerca de mí en Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/services/","3 approved service listings across at least 2 categories","live","index"
"141","P2","Mayagüez","shopping","shopping in Mayagüez Puerto Rico","dónde comprar en Mayagüez Puerto Rico","https://spotlightpuertorico.com/puerto-rico/mayaguez/shopping/","2 approved retail listings","live","index"
"142","P2","Mayagüez","tourism","things to do in Mayagüez","qué hacer en Mayagüez","https://spotlightpuertorico.com/puerto-rico/mayaguez/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
"143","P2","Mayagüez","tourism","tours in Mayagüez Puerto Rico","tours en Mayagüez Puerto Rico","https://spotlightpuertorico.com/puerto-rico/mayaguez/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"144","P2","Ponce","business","automotive services in Ponce","servicios automotrices en Ponce","https://spotlightpuertorico.com/puerto-rico/ponce/automotive/","2 approved automotive listings","live","index"
"145","P2","Ponce","tourism","beaches near Ponce","playas cerca de Ponce","https://spotlightpuertorico.com/puerto-rico/ponce/beaches/","2 documented beaches with access and safety details","live","index"
"146","P2","Ponce","business","beauty and spa in Ponce","belleza y spa en Ponce","https://spotlightpuertorico.com/puerto-rico/ponce/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"147","P2","Ponce","food","cafes and bakeries in Ponce","cafés y panaderías en Ponce","https://spotlightpuertorico.com/puerto-rico/ponce/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"148","P2","Ponce","tourism","family things to do in Ponce","actividades familiares en Ponce","https://spotlightpuertorico.com/puerto-rico/ponce/family-activities/","3 documented family-suitable activities","live","index"
"149","P2","Ponce","business","home services in Ponce","servicios para el hogar en Ponce","https://spotlightpuertorico.com/puerto-rico/ponce/home-services/","2 approved home-service listings","live","index"
"150","P2","Ponce","business","local businesses in Ponce","negocios locales en Ponce","https://spotlightpuertorico.com/puerto-rico/ponce/local-businesses/","4 approved listings across at least 2 categories","live","index"
"151","P2","Ponce","business","professional services in Ponce","servicios profesionales en Ponce","https://spotlightpuertorico.com/puerto-rico/ponce/professional-services/","2 approved professional-service listings","live","index"
"152","P2","Ponce","food","restaurants in Ponce","restaurantes en Ponce","https://spotlightpuertorico.com/puerto-rico/ponce/restaurants/","2 approved restaurant listings","live","index"
